itemCode;description;extraDescription;typeCode;classCode;stockingUOM;lotControlledInd;actualMaterialUpdateCode;mustSingleIssueInd;availableToPromiseInd;taxCode;groupSalesAnalysisRef1;groupSalesAnalysisRef2;groupSalesAnalysisRef3;groupSalesAnalysisRef4;groupSalesAnalysisRef5;masterScheduledInd;leadTimeDays;demandTimeFenceDays;firstDemandCode;secondDemandCode;minBalanceQty;MedidaLote;lotSize;orderPolicy;abcInventoryCode;purchasingUnitCode;sellingUOM;groupTechnologyCode;bracketGroupCode;primaryVendorCode;secondaryVendorCode;UPC;countryOfOriginCode;maxInventoryQty;horizonDays;requirementsCode;dailyLeadTimeRate;targetAnnualQty;minBalanceHorizonDays;secondaryGroupRef;packagingType;catalogNumberCode;pricingUOM;dropShipAllowedInd;controlDate5LeadTime;unitsPerPallet;netNetWeightPerUnit;weightPerUnit;weightUOM;length;lengthUOM;width;widthUOM;height;heightUOM;minOrderQty;stdOrderQty;incOrderQty;drawingOrFormulaCode
SP01DB4200S;CABEZAL - DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8467990000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP04DB4200S;ENSAMBLAJE FIJACIÓN DEL MANGO- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8467990000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP10DB4200S;ANILLO ENGANCHE DEL ARNES - DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;3926909090;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP13DB4200S;CONJUNTO DE CONEXIÓN AL MOTOR - DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8409919900;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP24DB4200S;TUBO DE ALUMINIO- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8467990000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP25DB4200S;FUNDA PROTECTORA- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;6307909000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP27DB4200S;EJE DE TRANSMISIÓN- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8483109900;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP28DB4200S;EMPUÑADURA DERECHA, ACELERADOR- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8467990000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP29DB4200S;EMPUÑADURA IZQUIERDA- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8467990000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
SP30DB4200S;PROTECTOR INFERIOR FIJO- DB4200S;;C;PT;EA;1;90;N;0;IVAGE;COME;NIX;US019;;POWT;N;90;1;2;2;;;1;J;N;UN;UN;BE;A3;20479;;8467990000;CHN;;30;I;;;;NEW;;;UN;1;;1;0,1;0,1;KG;0,1;MT;0,1;MT;0,1;MT;1; ;1;ETC-REPDB4200-S-REV 0
